,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1423854,23/06/2017 15:09,23/06/2017 15:14,321,Wood St & Hubbard St,Damen Ave & Chicago Ave,Subscriber,Male,1992
955915,25/05/2017 18:19,25/05/2017 18:45,1610,Theater on the Lake,Sheffield Ave & Waveland Ave,Subscriber,Female,1992
9031,4/01/2017 8:27,4/01/2017 8:34,416,May St & Taylor St,Wood St & Taylor St,Subscriber,Male,1981
304487,6/03/2017 13:49,6/03/2017 13:55,350,Christiana Ave & Lawrence Ave,St. Louis Ave & Balmoral Ave,Subscriber,Male,1986
45207,17/01/2017 14:53,17/01/2017 15:02,534,Clark St & Randolph St,Desplaines St & Jackson Blvd,Subscriber,Male,1975
1473887,26/06/2017 9:01,26/06/2017 9:11,586,Clinton St & Washington Blvd,Canal St & Taylor St,Subscriber,Male,1990
961916,26/05/2017 9:41,26/05/2017 9:46,281,Ashland Ave & Lake St,Wood St & Hubbard St,Subscriber,Female,1983
65924,21/01/2017 14:28,21/01/2017 14:40,723,Larrabee St & Kingsbury St,Larrabee St & Armitage Ave,Customer,,
606841,20/04/2017 16:08,20/04/2017 16:20,689,Sedgwick St & Huron St,Halsted St & Blackhawk St (*),Subscriber,Male,1984
135470,6/02/2017 18:00,6/02/2017 18:09,493,Stetson Ave & South Water St,Clinton St & Washington Blvd,Subscriber,Male,1979
175805,15/02/2017 7:09,15/02/2017 7:14,301,Broadway & Barry Ave,Wilton Ave & Belmont Ave,Subscriber,Female,1993
71678,22/01/2017 15:15,22/01/2017 15:31,917,Southport Ave & Wellington Ave,Clark St & Schiller St,Subscriber,Male,1964
19061,8/01/2017 16:03,8/01/2017 16:07,277,Green St & Madison St,Ada St & Washington Blvd,Subscriber,Male,1961
1023296,30/05/2017 15:46,30/05/2017 15:52,354,Larrabee St & Kingsbury St,Clark St & Elm St,Subscriber,Male,1985
611000,20/04/2017 19:26,20/04/2017 19:35,515,Canal St & Madison St,Racine Ave (May St) & Fulton St,Subscriber,Male,1984
958716,25/05/2017 22:59,25/05/2017 23:07,466,Clark St & Armitage Ave,Sheffield Ave & Wrightwood Ave,Subscriber,Female,1985
718598,3/05/2017 13:20,3/05/2017 13:31,635,Ada St & Washington Blvd,Daley Center Plaza,Subscriber,Male,1967
931608,23/05/2017 8:08,23/05/2017 8:11,164,Damen Ave & Cortland St,Marshfield Ave & Cortland St,Subscriber,Male,1990
1469705,25/06/2017 21:26,25/06/2017 21:33,434,State St & Pearson St,Clark St & Schiller St,Subscriber,Male,1987
475456,8/04/2017 11:37,8/04/2017 11:51,840,Adler Planetarium,Burnham Harbor,Customer,,
849468,16/05/2017 6:36,16/05/2017 6:59,1397,Michigan Ave & Oak St,Halsted St & Wrightwood Ave,Subscriber,Female,1992
1420915,23/06/2017 12:21,23/06/2017 12:32,713,Rush St & Cedar St,Halsted St & Willow St,Subscriber,Male,1985
161454,12/02/2017 15:24,12/02/2017 15:38,854,Clarendon Ave & Leland Ave,Lake Shore Dr & Belmont Ave,Subscriber,Male,1980
1413814,22/06/2017 19:14,22/06/2017 19:29,917,Bissell St & Armitage Ave,Orleans St & Chestnut St (NEXT Apts),Subscriber,Female,1989
717248,3/05/2017 9:41,3/05/2017 9:49,479,Wabash Ave & Roosevelt Rd,Halsted St & Roosevelt Rd,Subscriber,Male,1992
1451810,24/06/2017 20:47,24/06/2017 21:13,1559,Rush St & Cedar St,Halsted St & Roscoe St,Subscriber,Male,1968
385517,23/03/2017 9:38,23/03/2017 9:42,254,Loomis St & Jackson Blvd,Peoria St & Jackson Blvd,Subscriber,Female,1985
1186035,9/06/2017 7:48,9/06/2017 7:52,215,Canal St & Madison St,Clark St & Randolph St,Subscriber,Male,1974
512692,11/04/2017 18:49,11/04/2017 18:59,579,Clinton St & Lake St,Mies van der Rohe Way & Chestnut St,Subscriber,Male,1989
261757,25/02/2017 19:01,25/02/2017 19:08,411,Halsted St & Dickens Ave,Halsted St & Wrightwood Ave,Subscriber,Male,1970
952396,25/05/2017 16:06,25/05/2017 16:12,400,Clinton St & Madison St,Financial Pl & Congress Pkwy,Subscriber,Male,1965
1539334,30/06/2017 10:56,30/06/2017 11:40,2610,McCormick Place,Adler Planetarium,Customer,,
1359055,19/06/2017 17:43,19/06/2017 17:59,978,Larrabee St & Armitage Ave,Dearborn Pkwy & Delaware Pl,Subscriber,Female,1993
1187843,9/06/2017 9:08,9/06/2017 9:15,410,Halsted St & Diversey Pkwy,Sheffield Ave & Waveland Ave,Subscriber,Male,1984
389463,23/03/2017 20:50,23/03/2017 20:57,382,Ellis Ave & 55th St,Kimbark Ave & 53rd St,Subscriber,Female,1993
243879,22/02/2017 15:33,22/02/2017 15:54,1211,Streeter Dr & Grand Ave,Theater on the Lake,Customer,,
165328,13/02/2017 14:17,13/02/2017 14:22,327,University Ave & 57th St,Kimbark Ave & 53rd St,Subscriber,Female,1984
395803,24/03/2017 15:35,24/03/2017 15:46,615,Dearborn St & Erie St,State St & Van Buren St,Subscriber,Male,1989
720062,3/05/2017 16:27,3/05/2017 16:45,1087,Clark St & Elm St,Michigan Ave & Pearson St,Customer,,
93723,26/01/2017 19:45,26/01/2017 19:59,830,McClurg Ct & Erie St,Clinton St & Washington Blvd,Subscriber,Male,1977
1314009,16/06/2017 19:34,16/06/2017 20:16,2499,State St & Van Buren St,McClurg Ct & Erie St,Customer,,
601870,20/04/2017 7:47,20/04/2017 8:03,972,Indiana Ave & Roosevelt Rd,Wacker Dr & Washington St,Subscriber,Male,1992
814960,13/05/2017 14:39,13/05/2017 14:40,83,Humphrey Ave & Ontario St,Humphrey Ave & Ontario St,Subscriber,Male,1987
915409,22/05/2017 5:49,22/05/2017 5:51,92,Clark St & Congress Pkwy,LaSalle St & Jackson Blvd,Subscriber,Male,1967
1372709,20/06/2017 16:14,20/06/2017 16:42,1691,Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,Customer,,
1319064,17/06/2017 10:41,17/06/2017 10:55,853,Fairbanks Ct & Grand Ave,Clinton St & Madison St,Subscriber,Male,1990
461905,6/04/2017 14:58,6/04/2017 15:04,342,Franklin St & Monroe St,Michigan Ave & Washington St,Subscriber,Male,1980
371076,20/03/2017 21:27,20/03/2017 21:39,698,Morgan St & Lake St,Larrabee St & Oak St,Subscriber,Male,1972
906322,21/05/2017 10:03,21/05/2017 10:18,862,McClurg Ct & Illinois St,McClurg Ct & Illinois St,Subscriber,Male,1990
141745,8/02/2017 7:13,8/02/2017 7:16,166,Pine Grove Ave & Irving Park Rd,Clarendon Ave & Gordon Ter,Subscriber,Male,1986
629006,22/04/2017 19:12,22/04/2017 19:15,196,Clark St & Wellington Ave,Halsted St & Diversey Pkwy,Subscriber,Male,1988
724597,4/05/2017 5:46,4/05/2017 6:07,1315,Clark St & Wrightwood Ave,Franklin St & Monroe St,Subscriber,Male,1966
157790,11/02/2017 15:11,11/02/2017 16:30,4710,McCormick Place,Wabash Ave & Wacker Pl,Customer,,
959864,26/05/2017 7:31,26/05/2017 7:38,457,Clinton St & Washington Blvd,State St & Kinzie St,Subscriber,Female,1967
702079,1/05/2017 8:35,1/05/2017 8:49,825,Sedgwick St & North Ave,Michigan Ave & Oak St,Subscriber,Male,1983
239793,22/02/2017 7:51,22/02/2017 8:00,510,Broadway & Barry Ave,Sedgwick St & Webster Ave,Subscriber,Male,1988
1526760,29/06/2017 13:50,29/06/2017 14:10,1157,Lake Shore Dr & Belmont Ave,Lake Shore Dr & North Blvd,Customer,,
697597,29/04/2017 9:46,29/04/2017 10:14,1717,Clark St & Lake St,Ashland Ave & Division St,Subscriber,Female,1986
265806,27/02/2017 7:20,27/02/2017 7:31,650,Clinton St & Washington Blvd,Dearborn St & Erie St,Subscriber,Male,1975
750957,7/05/2017 11:14,7/05/2017 11:20,388,McClurg Ct & Illinois St,Rush St & Superior St,Subscriber,Female,1987
1531732,29/06/2017 17:56,29/06/2017 18:00,230,Lakeview Ave & Fullerton Pkwy,Stockton Dr & Wrightwood Ave,Subscriber,Female,1993
1539175,30/06/2017 10:44,30/06/2017 11:11,1599,Millennium Park,Streeter Dr & Grand Ave,Customer,,
462221,6/04/2017 15:54,6/04/2017 16:00,312,McClurg Ct & Illinois St,State St & Randolph St,Subscriber,Female,1984
402097,26/03/2017 11:40,26/03/2017 11:47,415,McClurg Ct & Erie St,Field Blvd & South Water St,Subscriber,Male,1964
445106,3/04/2017 6:31,3/04/2017 6:43,733,Clinton St & Washington Blvd,Halsted St & Roosevelt Rd,Subscriber,Male,1966
1381495,21/06/2017 6:45,21/06/2017 6:49,243,Clark St & Berwyn Ave,Broadway & Berwyn Ave,Subscriber,Male,1984
739835,5/05/2017 17:49,5/05/2017 18:00,671,Clinton St & Lake St,Ogden Ave & Race Ave,Subscriber,Male,1991
468745,7/04/2017 13:38,7/04/2017 13:44,312,Southport Ave & Roscoe St,Wilton Ave & Belmont Ave,Subscriber,Male,1989
1341523,18/06/2017 16:17,18/06/2017 16:53,2205,Fairbanks Ct & Grand Ave,Adler Planetarium,Customer,,
