,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
5688089,11/06/2017 14:55,11/06/2017 15:08,795,Suffolk St & Stanton St,W Broadway & Spring St,Subscriber,Male,1998
4096714,11/05/2017 15:30,11/05/2017 15:41,692,Lexington Ave & E 63 St,1 Ave & E 78 St,Subscriber,Male,1981
2173887,29/03/2017 13:26,29/03/2017 13:48,1325,1 Pl & Clinton St,Henry St & Degraw St,Subscriber,Male,1987
3945638,8/05/2017 19:47,8/05/2017 19:59,703,Barrow St & Hudson St,W 20 St & 8 Ave,Subscriber,Female,1986
6208972,21/06/2017 7:49,21/06/2017 7:54,329,1 Ave & E 44 St,E 53 St & 3 Ave,Subscriber,Male,1992
1285652,22/02/2017 18:55,22/02/2017 19:12,998,State St & Smith St,Bond St & Fulton St,Subscriber,Male,1986
1675753,6/03/2017 16:22,6/03/2017 16:30,478,Front St & Gold St,Lafayette Ave & Fort Greene Pl,Subscriber,Male,1982
1692245,7/03/2017 7:42,7/03/2017 8:49,4038,E 89 St & York Ave,Broadway & Battery Pl,Subscriber,Male,1984
2271331,2/04/2017 8:02,2/04/2017 9:28,5132,Central Park S & 6 Ave,Central Park S & 6 Ave,Customer,,
1558339,1/03/2017 23:01,1/03/2017 23:06,309,E 3 St & 1 Ave,E 25 St & 2 Ave,Subscriber,Male,1992
2287178,2/04/2017 14:37,2/04/2017 14:56,1131,Bank St & Washington St,Little West St & 1 Pl,Customer,,
2744874,13/04/2017 13:40,13/04/2017 13:45,319,Front St & Maiden Ln,Liberty St & Broadway,Subscriber,Male,1955
3398180,27/04/2017 23:27,28/04/2017 0:05,2301,E 10 St & 5 Ave,Columbus Ave & W 72 St,Subscriber,Male,1971
991609,13/02/2017 15:40,13/02/2017 16:00,1172,1 Ave & E 68 St,E 47 St & Park Ave,Subscriber,Male,1993
1512596,28/02/2017 19:26,28/02/2017 19:35,518,N 11 St & Wythe Ave,Bushwick Ave & Powers St,Subscriber,Male,1983
187466,11/01/2017 11:30,11/01/2017 11:35,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972
2195658,29/03/2017 20:19,29/03/2017 20:24,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982
6388534,23/06/2017 21:21,23/06/2017 21:30,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997
4733837,24/05/2017 8:53,24/05/2017 9:04,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979
5857,1/01/2017 13:32,1/01/2017 13:49,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Customer,,
1132766,18/02/2017 13:29,18/02/2017 13:30,82,E 71 St & 1 Ave,1 Ave & E 68 St,Subscriber,Male,1983
3358474,27/04/2017 9:44,27/04/2017 9:48,204,University Pl & E 14 St,Washington Pl & Broadway,Subscriber,Male,1988
1778858,9/03/2017 11:15,9/03/2017 11:29,803,E 25 St & 2 Ave,Suffolk St & Stanton St,Subscriber,Female,1978
2497952,8/04/2017 13:39,8/04/2017 14:04,1476,Dean St & Hoyt St,Plaza St West & Flatbush Ave,Customer,,
2905932,16/04/2017 17:36,16/04/2017 18:02,1605,Allen St & Stanton St,Mott St & Prince St,Subscriber,Male,1983
3123311,21/04/2017 9:41,21/04/2017 9:48,441,Lexington Ave & E 63 St,1 Ave & E 68 St,Subscriber,Female,1965
2959550,17/04/2017 18:27,17/04/2017 18:56,1750,NYCBS Depot - SSP,Columbia St & Degraw St,Subscriber,Male,1975
2067887,25/03/2017 12:02,25/03/2017 12:08,393,W 26 St & 8 Ave,W 38 St & 8 Ave,Subscriber,Female,1960
3518426,29/04/2017 23:58,30/04/2017 0:02,215,Great Jones St,Mott St & Prince St,Subscriber,Male,1986
5383277,6/06/2017 11:23,6/06/2017 11:26,205,W 43 St & 10 Ave,9 Ave & W 45 St,Subscriber,Male,1951
3146215,21/04/2017 18:09,21/04/2017 18:14,294,Grand St & Elizabeth St,Grand St & Greene St,Subscriber,Female,1995
2018488,23/03/2017 18:35,23/03/2017 18:50,920,W 20 St & 11 Ave,St Marks Pl & 2 Ave,Subscriber,Male,1951
3676202,2/05/2017 21:43,2/05/2017 22:29,2746,Old Fulton St,Broadway & E 14 St,Customer,,
1389460,25/02/2017 10:58,25/02/2017 11:03,298,Allen St & Hester St,Rivington St & Chrystie St,Subscriber,Male,1986
6321417,22/06/2017 18:52,22/06/2017 19:15,1388,E 55 St & 3 Ave,Milton St & Franklin St,Subscriber,Male,1988
936709,8/02/2017 12:06,8/02/2017 12:08,111,8 Ave & W 52 St,W 54 St & 9 Ave,Subscriber,Male,1975
1975396,22/03/2017 8:56,22/03/2017 9:07,630,Broadway & W 29 St,E 17 St & Broadway,Customer,,
642530,28/01/2017 16:32,28/01/2017 16:53,1284,Cathedral Pkwy & Broadway,Central Park S & 6 Ave,Subscriber,Male,1974
5630375,10/06/2017 14:03,10/06/2017 14:05,76,Bayard St & Baxter St,Bayard St & Baxter St,Customer,,
5481113,8/06/2017 7:25,8/06/2017 7:31,328,Driggs Ave & N Henry St,N 8 St & Driggs Ave,Subscriber,Female,1986
3873453,7/05/2017 10:50,7/05/2017 10:56,382,Perry St & Bleecker St,8 Ave & W 31 St,Subscriber,Male,1993
2567503,10/04/2017 7:32,10/04/2017 7:41,526,Broadway & E 22 St,Pershing Square South,Subscriber,Male,1974
6432811,24/06/2017 19:13,24/06/2017 19:18,308,Carmine St & 6 Ave,W 13 St & 7 Ave,Subscriber,Male,1987
1909858,20/03/2017 9:08,20/03/2017 9:13,314,Fulton St & Clermont Ave,Hanson Pl & Ashland Pl,Subscriber,Male,1968
4989575,30/05/2017 10:12,30/05/2017 10:26,854,W 26 St & 8 Ave,Greenwich St & W Houston St,Subscriber,Male,1985
4485367,19/05/2017 8:51,19/05/2017 8:58,433,Broadway & W 56 St,E 47 St & Park Ave,Subscriber,Male,1979
6686290,28/06/2017 20:29,28/06/2017 20:40,603,8 Ave & W 16 St,W 38 St & 8 Ave,Subscriber,Male,1987
6398149,24/06/2017 11:07,24/06/2017 11:13,351,University Pl & E 14 St,W 13 St & Hudson St,Subscriber,Male,1976
2964832,17/04/2017 19:27,17/04/2017 19:41,816,W 84 St & Columbus Ave,W 104 St & Amsterdam Ave,Subscriber,Female,1990
5334757,5/06/2017 12:23,5/06/2017 12:29,368,E 53 St & Madison Ave,E 58 St & 1 Ave,Subscriber,Male,1990
574675,26/01/2017 12:40,26/01/2017 13:06,1574,W 43 St & 6 Ave,Carmine St & 6 Ave,Subscriber,Male,1954
5981682,16/06/2017 13:15,16/06/2017 13:20,324,Broadway & W 36 St,E 41 St & Madison Ave,Subscriber,Male,1992
2897347,16/04/2017 15:23,16/04/2017 15:44,1233,Cleveland Pl & Spring St,S 5 Pl & S 4 St,Customer,,
3582305,1/05/2017 13:31,1/05/2017 13:46,881,E 45 St & 3 Ave,W 34 St & 11 Ave,Subscriber,Male,1972
1507415,28/02/2017 18:03,28/02/2017 18:10,418,Columbus Ave & W 103 St,W 106 St & Central Park West,Subscriber,Male,1990
5448406,7/06/2017 16:35,7/06/2017 16:58,1356,E 39 St & 3 Ave,Central Park North & Adam Clayton Powell Blvd,Subscriber,Male,1968
4580791,20/05/2017 21:12,20/05/2017 21:27,852,Vesey Pl & River Terrace,Mercer St & Spring St,Subscriber,Male,1994
