,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1621326,21/06/2017 8:36,21/06/2017 8:44,489.066,14th & Belmont St NW,15th & K St NW,Subscriber
482740,11/03/2017 10:40,11/03/2017 10:46,402.549,Yuma St & Tenley Circle NW,Connecticut Ave & Yuma St NW,Subscriber
1330037,30/05/2017 1:02,30/05/2017 1:13,637.251,17th St & Massachusetts Ave NW,5th & K St NW,Subscriber
665458,2/04/2017 7:48,2/04/2017 8:19,1827.341,Constitution Ave & 2nd St NW/DOL,M St & Pennsylvania Ave NW,Customer
1481135,10/06/2017 8:36,10/06/2017 9:02,1549.427,Henry Bacon Dr & Lincoln Memorial Circle NW,Maine Ave & 7th St SW,Subscriber
1148202,14/05/2017 7:18,14/05/2017 7:24,398,1st & K St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1594275,19/06/2017 8:41,19/06/2017 9:00,1105.429,Park Rd & Holmead Pl NW,8th & H St NW,Subscriber
1601832,20/06/2017 5:54,20/06/2017 6:05,636.218,1st & D St SE,Potomac & Pennsylvania Ave SE,Subscriber
574182,24/03/2017 20:37,24/03/2017 20:42,328.53,18th & R St NW,15th & P St NW,Subscriber
327058,20/02/2017 21:12,20/02/2017 21:31,1188.09,17th & Corcoran St NW,Lynn & 19th St North,Subscriber
854729,17/04/2017 2:50,17/04/2017 3:05,866.689,37th & O St NW / Georgetown University,37th & O St NW / Georgetown University,Customer
721887,8/04/2017 1:12,8/04/2017 1:52,2385.411,10th & G St NW,5th St & Massachusetts Ave NW,Customer
143181,26/01/2017 20:01,26/01/2017 20:17,951.457,10th St & L'Enfant Plaza SW,1st & Rhode Island Ave NW,Subscriber
26953,6/01/2017 17:36,6/01/2017 17:43,448.628,North Capitol St & F St NW,1st & M St NE,Subscriber
1308542,28/05/2017 3:50,28/05/2017 4:24,2039.472,Henry Bacon Dr & Lincoln Memorial Circle NW,Lincoln Memorial,Customer
1592744,19/06/2017 7:46,19/06/2017 7:55,505.482,Metro Center / 12th & G St NW,North Capitol St & G Pl NE,Subscriber
1139713,13/05/2017 11:29,13/05/2017 11:55,1591.326,16th & Harvard St NW,New York Ave & 15th St NW,Customer
1478516,10/06/2017 6:04,10/06/2017 6:32,1672.075,17th St & Massachusetts Ave NW,15th & East Capitol St NE,Subscriber
679837,3/04/2017 10:22,3/04/2017 10:26,231.952,20th & Crystal Dr,6th & S Ball St,Subscriber
1392498,3/06/2017 11:42,3/06/2017 12:21,2291.454,22nd & I St NW / Foggy Bottom,Lamont & Mt Pleasant NW,Customer
746605,9/04/2017 11:05,9/04/2017 11:26,1261.363,Henry Bacon Dr & Lincoln Memorial Circle NW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
868881,18/04/2017 5:42,18/04/2017 6:31,2964.818,Anacostia Metro,Congress Heights Metro,Subscriber
1161275,15/05/2017 7:35,15/05/2017 7:49,825.59,3rd & H St NE,Oklahoma Ave & D St NE,Subscriber
305000,19/02/2017 0:43,19/02/2017 0:46,226.006,18th St & Wyoming Ave NW,Calvert St & Woodley Pl NW,Subscriber
1174029,16/05/2017 7:34,16/05/2017 7:50,920.84,Florida Ave & R St NW,L'Enfant Plaza / 7th & C St SW,Subscriber
1157984,15/05/2017 5:39,15/05/2017 6:02,1371.512,Lincoln Memorial,Arlington Blvd & Fillmore St,Subscriber
694527,5/04/2017 1:36,5/04/2017 1:40,254.076,13th St & New York Ave NW,11th & M St NW,Subscriber
228536,8/02/2017 9:17,8/02/2017 9:31,834.78,39th & Calvert St NW / Stoddert,Massachusetts Ave & Dupont Circle NW,Subscriber
669432,2/04/2017 12:11,2/04/2017 2:15,7427.749,2nd St & Massachusetts Ave NE,2nd St & Massachusetts Ave NE,Customer
1036255,2/05/2017 11:49,2/05/2017 12:09,1165.698,10th & K St NW,Georgetown Harbor / 30th St NW,Subscriber
300879,18/02/2017 15:55,18/02/2017 16:22,1608.894,Madison & Fairfax St,12th & Army Navy Dr,Customer
1999,1/01/2017 14:40,1/01/2017 14:44,252.871,21st & M St NW,18th & R St NW,Subscriber
1737550,29/06/2017 12:45,29/06/2017 1:39,3238.239,4th St & Madison Dr NW,4th St & Madison Dr NW,Customer
941125,25/04/2017 7:43,25/04/2017 8:02,1122.602,17th St & Massachusetts Ave NW,3rd St & Pennsylvania Ave SE,Subscriber
964985,27/04/2017 8:01,27/04/2017 8:15,782.782,4th St & Madison Dr NW,18th St & Pennsylvania Ave NW,Subscriber
34042,9/01/2017 12:29,9/01/2017 12:48,1138.896,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,Shirlington Transit Center / S Quincy & Randolph St,Subscriber
131497,25/01/2017 15:57,25/01/2017 18:10,7954.191,17th & K St NW,Carlin Springs Rd & N Thomas St,Customer
398759,28/02/2017 15:53,28/02/2017 16:08,888.153,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Columbus Circle / Union Station,Subscriber
582231,25/03/2017 14:16,25/03/2017 14:35,1127.911,18th & R St NW,8th & D St NW,Subscriber
1357016,1/06/2017 5:49,1/06/2017 5:59,593.622,14th & Belmont St NW,7th & R St NW / Shaw Library,Subscriber
1679342,25/06/2017 12:57,25/06/2017 2:10,4355.38,14th & D St NW / Ronald Reagan Building,14th & D St NW / Ronald Reagan Building,Customer
403923,1/03/2017 10:13,1/03/2017 10:17,270.335,Veterans Pl & Pershing Dr ,Ripley & Bonifant St,Subscriber
847389,16/04/2017 6:55,16/04/2017 6:57,118.354,New Hampshire Ave & 24th St NW,24th & N St NW,Subscriber
1126235,12/05/2017 2:15,12/05/2017 2:33,1042.119,22nd & P ST NW,10th & K St NW,Customer
1416879,5/06/2017 11:32,5/06/2017 11:38,356.295,3rd & Elm St NW,7th & R St NW / Shaw Library,Subscriber
637581,30/03/2017 15:23,30/03/2017 15:34,663.594,20th & E St NW,14th & D St NW / Ronald Reagan Building,Subscriber
